id,error_labels,error_llm,chaosnli_low_labels
40710n,,c,
21957n,,,c
14126e,,c,e
79013n,e;n,,c
38156n,,,e;c
25304n,n,,
111338e,,c,
75259c,c,,c
53211n,e,n;c,c
123267e,,c,c
80808n,n,,
72740c,,,
71251n,,c,
117680c,,e,e;n
80930n,,,c
98844n,,,
127073c,c,,e
61216c,,,e
102857n,c,c,c
133243e,,c,c
144408n,,,
104412e,c,c,c
129601e,,c,n
62238e,e,c,c
51353e,,c,n;c
108027n,,,e
95883e,,,
26495e,,c,n;c
67836n,,,e
21340n,c,,c;e
114971e,,,
103354n,c,c,
11971n,,,c
83722e,,c,n;c
38527n,,,c
59934n,e,,c
10916n,,c,n
34043c,c,,
117089n,,c,c
121910c,,,c
113668n,c;e,c,
128176e,e,,c
122322e,,c,n;c
53619c,e,,e
27287c,,n;c,e
125700e,,,c
96946n,,,c
17660e,,c,c
107252c,,,c;e
113967e,,c,c;e
129464c,,c,c
82528c,e,,
134356n,,c,c
102075c,,,
96956c,,c,e
24163e,,,c
31775c,,e,
8487n,n,c,c
46576e,,,c
83247e,,c,c
80109n,n,,
52854n,,c,
133274n,,,e
120070n,,c,c
129185n,,,c
49172n,,c,n;c
140782c,,e,e
45443c,,,e
22938e,,,c
67571c,,,e
5087e,,,c
23769n,,c,
13760n,,c,c
2133n,,,e;n
117093n,,c,c
112402c,,,c
32754n,c,c,c
120896n,n,n;c,n
25437n,,c,c
56895c,,c,
43094c,,,e
21834e,n,c,c
139836n,n,,
57454e,,c,c
34573n,c,,
52278e,,c,n;c
11618c,,,n
118460n,c;e,n,c
54383c,,c,e
123751n,,c,c;n
43891n,,,
113039e,,c,c
83900e,,c,c
10119e,e,c,c
21810n,,,c
35700c,,n,n;e
109278n,n,,c;e
138530e,c,c,
13387e,,c,c
58557e,,c,n;c
36811c,,,e
73840n,,c,c
31249e,,c,c;n
91913n,c,c,c
100895c,,,e
837n,,c,c
140005c,,,e;n
38475c,,,e
141293e,,c,c
30139n,,n;c,c
30380c,e,,n
22436n,,,c
76037n,c,c,e
28456n,,,e
46198c,,,e
100136e,,c,c
24103n,,c,c;e
142729c,,c,n;e
96516e,,c,c
52761e,,c,c
21297n,,,c
98487c,,,
17179n,,c,
132539e,,,c
23642n,,c,c;e
84781e,,c,c
15771c,,e,n;e
134655c,,,n;e
33822n,,,c;e
125021c,,,e
133005n,,,e
65650e,,c,c
3545n,,e,e;c
105196n,,c,c
144753e,,,c
114458e,n,c,c
49237c,,,n
70047c,,c,c
137319n,,c,n;c
63013n,,,c
79507e,,,
121910e,c,,n;e
120323n,,c,c
50480n,e,c,c
123027n,,,c
85279n,,,c
121360c,c,,e
56582n,,,c
46650n,,,c
81579e,c,,n;c
23414c,,,c
36715e,,c,c
114492n,,,e
136097n,,,c
101253c,,,n
97520e,,c,c
97569e,,,
23751c,,,e;c
103169n,c;n,c,c
134217e,e;n,c,c
11601n,,,e
46059c,e,,n
82156e,,c,c
30894n,,c,c
122645n,c,e,c
26142n,,c,n;c
66225n,,c,
134103n,,c,c
117177n,,,c
78105e,,c,n;c
23280e,,,c
9393n,c,,e
82510c,n,c,
14459n,,c,c
70711c,,,
77893n,c,,c
20181n,,,e
137715n,,c,n;c
109679n,n,c,n
123891c,,n,e
16086n,,,e
91650n,,c,n;c
85428e,,,n;c
118403n,,,e
105561e,e,,n
11303n,,n;c,c
11534n,,c,c
46198n,,,e
125013e,,c,
44747n,,c,e
19768c,,e,e
53468n,c,,c
136752n,e,,c
10724n,,,c;e
17753n,,c,n
130928n,,n;c,c
66858n,,,c;n
28601n,,c,c
92774n,,,e
142604e,c,n;c,n
42860n,,c,n;c
77299n,,,c
13765c,c;e,,e
139362e,e,c,c
116176c,c,,c
110234e,c,c,n
84781c,c,,e
41052n,,,c
128160n,,c,c;n
123038e,,,c
98621n,,,e
97926c,,,n;e
98561e,,c,n
86429n,,,e
105911c,,,c
126486n,,c,
127809n,,n;c,c;n
28306c,e,e,e;n
